ID,math9,math9_score,math10,math10_score,eng9,eng9_score,eng10,eng10_score,hist9,hist9_score,bio9,bio_score,phys10,phys10_score,chem11,chem11_score
2240028,Algebra 1,77.110000610351563,Geometry,81.235000610351563,English 1 Hon,83.084999084472656,English 2 Hon,88.480003356933594,AP Human Geography,76.094997406005859,Biology 1,88.715000152587891,Physics 1,85.794998168945313,Chemistry 1,73.564998626708984
2240031,Algebra 1,54.219999949137367,Geometry,65.084999084472656,English 1,67.159997940063477,English 2,68.880001068115234,World Affairs,73.364999771118164,Biology 1,75.269996643066406,Physics 1,83.375,Chemistry 1,77.514999389648438
2240033,Algebra 1,45.133333524068199,Geometry,52.55000114440918,English 1,44.559999942779541,English 2,74.985000610351563,World Affairs,62.235000610351563,Biology 1,63.100000381469727,Physics 1,67.554996490478516,,
2240033,Algebra 1,45.133333524068199,Geometry CR Grading,65,English 1,44.559999942779541,English 2,74.985000610351563,World Affairs,62.235000610351563,Biology 1,63.100000381469727,Physics 1,67.554996490478516,,
2240035,Algebra 1,81.05999755859375,Geometry,67.555000305175781,English 1,71.194999694824219,English 2,72.805000305175781,World Affairs,69.814998626708984,Biology 1,75.994998931884766,Physics 1,66.720001220703125,,
2240036,Algebra 1,53.104999542236328,,,English 1,1.8199999332427979,English 1,65,World Affairs,58.774999618530273,Biology 1,45.404999732971191,,,,
2240037,Algebra 1,65.05000114440918,Geometry,69.970001220703125,English 1,73.034999847412109,English 2,67.56500244140625,World Affairs,84.739997863769531,Biology 1,90.479999542236328,Physics 1,66.94000244140625,,
2240037,Algebra 1,65.05000114440918,Geometry,69.970001220703125,English 1,73.034999847412109,English 2,67.56500244140625,World Affairs,84.739997863769531,Biology 1,90.479999542236328,Physics 1 Bi,80.300003051757813,,
2240037,Algebra 1,65.05000114440918,Geometry Bi,66.75,English 1,73.034999847412109,English 2,67.56500244140625,World Affairs,84.739997863769531,Biology 1,90.479999542236328,Physics 1,66.94000244140625,,
2240037,Algebra 1,65.05000114440918,Geometry Bi,66.75,English 1,73.034999847412109,English 2,67.56500244140625,World Affairs,84.739997863769531,Biology 1,90.479999542236328,Physics 1 Bi,80.300003051757813,,
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1,43.333333333333336,English 2,90.900001525878906,AP Human Geography,5.9999998658895493E-2,Biology 1,65,Physics 1,85.674999237060547,,
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1,43.333333333333336,English 2,90.900001525878906,AP Human Geography,5.9999998658895493E-2,Biology 1 Hon,25,Physics 1,85.674999237060547,,
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1,43.333333333333336,English 2,90.900001525878906,World Affairs,43.879999995231628,Biology 1,65,Physics 1,85.674999237060547,,
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1,43.333333333333336,English 2,90.900001525878906,World Affairs,43.879999995231628,Biology 1 Hon,25,Physics 1,85.674999237060547,,
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1 Hon,15.439999580383301,English 2,90.900001525878906,AP Human Geography,5.9999998658895493E-2,Biology 1,65,Physics 1,85.674999237060547,,
